aciertos_totales,vidas_perdidas,pistas_usadas,tiempo_total_segundos,max_racha_correctas,errores_traducir,errores_completar,errores_imagenes,nivel_asignado
3,2,4,248,1,2,0,0,Basico
3,5,5,312,1,3,2,0,Basico
1,7,3,350,0,4,2,1,Intermedio
7,9,4,170,3,2,5,2,Basico
7,2,4,135,5,0,2,0,Basico+
3,3,3,372,2,1,1,1,Basico
5,6,3,224,3,2,2,2,Basico
10,6,8,47,2,1,4,1,Basico+
0,5,3,435,0,2,3,0,Basico
2,7,6,322,1,4,3,0,Basico
7,2,4,117,3,2,0,0,Basico
7,3,4,110,5,2,1,0,Basico+
4,1,0,340,1,1,0,0,Basico
8,3,2,84,6,0,2,1,Basico+
5,9,4,304,4,6,3,0,Basico
2,4,3,370,0,1,1,2,Basico
5,4,5,245,4,3,1,0,Basico+
4,1,1,319,3,0,1,0,Basico
4,4,2,249,3,3,1,0,Basico
7,0,1,188,6,0,0,0,Basico+
4,6,2,312,4,3,2,1,Basico
1,9,8,358,0,4,3,2,Basico
7,0,3,138,6,0,0,0,Basico+
3,7,5,294,1,4,2,1,Basico
6,3,3,164,2,3,0,0,Basico+
9,8,8,101,3,2,6,0,Basico+
3,0,0,258,0,0,0,0,Basico+
6,5,1,233,4,0,2,3,Basico
4,5,7,195,2,4,0,1,Basico
6,5,1,221,4,2,2,1,Basico
7,9,6,67,3,7,2,0,Basico
5,8,2,281,4,2,3,3,Basico
3,4,3,291,0,4,0,0,Basico
2,4,1,272,0,2,1,1,Basico
4,4,3,184,2,2,2,0,Basico
7,9,2,220,2,4,5,0,Basico
8,0,3,70,2,0,0,0,Basico+
7,3,2,270,5,2,0,1,Basico
5,3,4,254,2,1,2,0,Basico
8,2,1,122,6,1,1,0,Basico+
3,5,7,230,3,2,3,0,Basico
0,5,2,417,0,2,3,0,Basico
4,5,4,228,3,3,1,1,Basico+
2,5,7,423,0,2,1,2,Basico
4,5,5,332,1,2,1,2,Basico
0,6,2,360,0,4,1,1,Basico
8,8,9,77,3,5,3,0,Basico+
1,7,3,336,1,4,2,1,Basico+
5,3,1,230,3,2,1,0,Basico
2,2,0,373,1,0,0,2,Basico
2,5,5,372,1,4,1,0,Basico
0,9,7,521,0,7,2,0,Basico
6,6,5,256,4,2,2,2,Basico
8,2,3,124,6,2,0,0,Basico+
6,8,4,271,3,2,3,3,Basico
7,6,5,168,1,3,2,1,Basico
2,7,2,451,1,5,1,1,Basico
10,2,0,169,7,1,1,0,Intermedio
6,7,7,197,2,3,2,2,Basico
2,5,4,396,1,3,2,0,Basico
1,2,1,357,0,1,1,0,Basico
8,5,5,166,2,4,0,1,Basico
1,3,4,433,0,2,1,0,Basico
8,9,9,166,6,6,3,0,Basico+
9,4,1,48,7,1,0,3,Intermedio
8,7,3,108,3,2,4,1,Basico+
4,7,7,212,1,3,2,2,Basico
8,6,5,79,5,1,4,1,Basico+
8,6,4,107,6,3,3,0,Basico
4,4,5,249,2,2,2,0,Basico
8,5,6,68,6,2,2,1,Basico+
4,6,5,195,2,5,0,1,Basico
4,8,7,308,3,6,1,1,Basico
5,5,2,323,3,0,3,2,Intermedio
5,10,10,244,2,4,3,3,Basico
2,5,4,293,1,0,3,2,Basico
8,1,2,134,6,0,0,1,Basico+
5,6,1,362,1,3,2,1,Basico
4,2,1,207,4,2,0,0,Basico
7,9,9,178,6,2,6,1,Basico
7,4,2,203,3,2,2,0,Basico
7,3,3,127,2,2,0,1,Basico+
3,6,5,360,2,3,3,0,Basico
0,5,2,317,0,3,0,2,Basico
2,9,5,333,1,4,3,2,Basico
2,1,1,368,0,0,1,0,Basico
8,5,1,109,6,1,3,1,Basico+
8,1,1,150,6,0,1,0,Basico+
3,2,1,297,2,2,0,0,Basico
7,3,2,205,6,0,2,1,Basico+
6,3,3,162,3,2,1,0,Basico
7,4,2,161,1,1,3,0,Basico
2,10,3,378,1,4,3,3,Basico
10,8,7,71,5,5,0,3,Basico+
8,2,3,162,1,2,0,0,Basico+
6,9,4,220,5,3,4,2,Basico
6,4,3,156,2,4,0,0,Basico
4,3,2,302,4,0,1,2,Basico
2,1,2,397,1,1,0,0,Basico
0,3,2,289,0,0,3,0,Basico
3,4,2,286,1,4,0,0,Basico
6,10,7,287,2,5,2,3,Basico
7,1,3,142,6,0,1,0,Basico+
3,1,0,243,0,0,0,1,Basico
0,8,5,338,0,3,3,2,Basico
2,5,3,426,1,2,3,0,Basico
8,7,6,135,4,5,2,0,Basico+
8,3,3,85,3,1,0,2,Basico+
5,6,5,220,4,2,1,3,Basico
3,7,8,305,2,0,7,0,Basico
7,0,1,195,7,0,0,0,Basico+
1,1,2,441,0,1,0,0,Basico
2,0,0,377,2,0,0,0,Basico
4,4,2,268,1,1,2,1,Basico
6,0,1,169,2,0,0,0,Basico+
5,5,6,288,1,3,2,0,Basico
5,1,1,149,0,0,1,0,Intermedio
4,7,7,310,1,5,1,1,Basico
3,5,4,397,2,3,1,1,Basico
1,4,5,382,0,3,1,0,Basico
5,9,9,198,4,4,3,2,Basico
4,6,8,358,1,1,4,1,Basico
9,2,4,107,7,1,1,0,Intermedio
5,7,8,242,2,4,1,2,Basico
8,9,8,124,2,3,5,1,Basico
2,9,7,288,1,5,1,3,Basico+
5,3,2,232,2,1,1,1,Basico
0,5,4,349,0,1,3,1,Basico
2,4,4,375,1,1,2,1,Basico
4,4,4,295,3,3,1,0,Basico
2,5,7,251,0,2,1,2,Basico
7,5,3,194,6,2,2,1,Intermedio
2,9,2,288,1,3,1,5,Basico
3,7,4,259,1,3,2,2,Basico
5,4,3,215,2,0,1,3,Basico
6,3,2,212,4,2,0,1,Basico
9,4,1,41,4,2,1,1,Basico+
6,3,4,185,4,1,2,0,Basico
10,5,4,181,4,2,1,2,Basico+
6,5,4,166,3,3,2,0,Basico
2,3,1,323,1,0,1,2,Basico
4,1,0,217,3,0,1,0,Basico
1,4,2,384,0,0,4,0,Basico
4,7,5,372,0,2,3,2,Basico
5,3,5,190,4,0,1,2,Basico+
4,1,0,252,0,0,1,0,Basico
6,8,6,167,2,5,1,2,Intermedio
0,7,4,490,0,3,3,1,Basico
4,7,5,309,4,4,3,0,Basico
1,4,2,382,0,2,2,0,Basico
7,7,3,116,2,2,1,4,Basico
7,4,4,163,6,1,3,0,Basico+
6,0,1,197,5,0,0,0,Basico+
6,2,1,131,5,1,1,0,Basico+
2,5,4,318,0,1,3,1,Basico
9,8,10,129,8,4,3,1,Basico+
3,8,6,263,3,1,4,3,Basico
8,4,2,103,0,2,0,2,Basico+
5,0,2,347,2,0,0,0,Basico
6,0,2,205,3,0,0,0,Basico
9,7,4,58,3,3,2,2,Basico+
2,8,6,230,2,7,1,0,Basico
7,8,8,158,3,3,3,2,Basico
7,1,0,207,4,1,0,0,Basico+
9,2,4,34,3,2,0,0,Intermedio
0,6,7,476,0,2,3,1,Basico
3,0,3,330,2,0,0,0,Basico
8,7,7,80,3,3,3,1,Basico+
3,8,6,299,0,6,1,1,Basico
7,9,8,187,4,2,4,3,Basico
2,10,4,426,2,4,6,0,Basico
5,5,2,292,3,2,3,0,Basico
2,8,3,299,0,5,0,3,Basico
7,6,4,127,5,3,2,1,Basico+
9,2,3,30,3,2,0,0,Basico+
6,4,1,203,2,1,2,1,Intermedio
8,5,1,132,7,3,1,1,Basico+
9,7,6,51,4,4,2,1,Basico+
5,2,1,204,2,1,1,0,Basico
5,6,4,298,4,0,4,2,Basico
10,9,4,29,9,4,2,3,Intermedio
1,2,0,436,0,1,1,0,Basico
6,2,3,199,1,1,1,0,Basico
0,8,8,422,0,4,4,0,Basico
3,9,3,401,3,8,1,0,Basico
3,8,8,253,2,5,3,0,Basico
7,8,3,204,4,3,2,3,Basico
6,8,7,205,5,4,4,0,Basico
8,4,2,77,5,3,1,0,Basico+
4,3,0,251,2,2,1,0,Basico
5,3,3,202,4,1,2,0,Basico
4,2,2,210,3,1,0,1,Basico
3,2,4,174,2,0,2,0,Basico
0,4,2,269,0,2,1,1,Basico
4,2,0,250,3,1,0,1,Basico+
8,5,2,112,5,1,2,2,Intermedio
2,0,3,358,2,0,0,0,Basico
5,9,7,257,2,2,6,1,Basico
1,9,9,345,0,5,2,2,Basico+
6,2,0,129,4,2,0,0,Basico+
10,6,4,141,9,3,2,1,Intermedio
4,7,4,277,1,3,2,2,Basico
2,5,5,341,1,2,3,0,Basico
3,2,1,379,1,2,0,0,Basico
5,4,6,246,3,2,2,0,Basico
7,5,7,200,3,3,2,0,Basico
5,7,7,227,3,2,5,0,Basico
1,9,2,479,1,3,4,2,Basico
8,2,2,178,2,1,0,1,Basico+
6,2,2,233,5,1,0,1,Basico
5,8,8,339,2,4,3,1,Basico
3,0,1,218,2,0,0,0,Basico
3,8,8,370,1,3,4,1,Basico
2,0,1,360,1,0,0,0,Basico
8,5,6,143,4,3,2,0,Basico+
2,9,6,327,0,6,1,2,Basico
6,7,1,181,4,2,3,2,Basico
4,8,4,186,2,3,2,3,Basico
3,1,1,388,1,1,0,0,Intermedio
3,6,5,276,1,1,4,1,Basico
0,10,8,447,0,1,5,4,Basico
7,1,1,147,3,0,0,1,Basico+
1,1,2,400,0,1,0,0,Intermedio
7,4,1,163,2,1,2,1,Basico
2,1,3,208,1,0,0,1,Basico
6,8,7,182,2,6,1,1,Basico
3,9,2,229,1,4,4,1,Basico
8,0,1,163,6,0,0,0,Basico+
0,10,8,381,0,3,4,3,Intermedio
10,0,2,25,8,0,0,0,Intermedio
9,5,6,126,5,2,3,0,Basico+
2,3,4,396,1,3,0,0,Basico
6,4,3,135,4,3,1,0,Basico+
4,4,5,222,2,1,2,1,Basico
7,6,4,115,2,2,4,0,Basico
3,4,2,252,1,1,1,2,Intermedio
10,7,8,68,6,4,1,2,Basico+
5,0,3,368,2,0,0,0,Basico
7,5,3,167,2,2,2,1,Basico
5,6,6,290,3,3,1,2,Basico
3,6,6,241,3,3,2,1,Basico
2,0,1,337,0,0,0,0,Basico
4,1,1,220,3,1,0,0,Basico
7,5,6,176,4,4,0,1,Basico
5,3,5,226,3,2,0,1,Basico
3,2,1,206,1,2,0,0,Basico
3,8,4,266,3,3,4,1,Basico
4,9,9,228,1,2,4,3,Basico
4,3,3,336,2,0,1,2,Basico
3,3,1,250,2,1,1,1,Basico
0,5,6,593,0,1,2,2,Basico
1,5,6,380,0,1,3,1,Basico
6,7,6,325,5,2,2,3,Basico
2,9,8,321,1,5,1,3,Basico
2,9,3,345,1,4,3,2,Basico
2,2,3,438,0,0,1,1,Basico
3,2,1,310,1,1,1,0,Basico
1,7,4,245,0,4,2,1,Basico
7,4,2,178,6,4,0,0,Basico+
7,6,6,168,5,3,1,2,Basico+
1,2,3,339,0,1,1,0,Basico
7,2,4,163,4,1,1,0,Basico+
0,6,4,530,0,3,2,1,Basico
5,0,0,370,2,0,0,0,Basico
5,6,3,252,4,3,1,2,Basico
7,2,0,160,4,0,1,1,Basico+
5,9,8,253,0,6,2,1,Basico
3,2,1,290,2,0,2,0,Basico
7,5,3,117,5,2,2,1,Basico
3,8,2,366,2,4,2,2,Intermedio
6,1,1,119,5,0,1,0,Basico+
2,2,3,228,1,2,0,0,Basico
5,2,1,229,4,1,0,1,Basico
7,6,4,179,5,2,3,1,Basico+
6,10,10,155,2,7,2,1,Basico
2,4,5,483,1,2,1,1,Basico
0,0,0,490,0,0,0,0,Basico
8,0,1,109,7,0,0,0,Intermedio
6,5,3,224,4,4,0,1,Intermedio
5,5,4,221,4,1,3,1,Basico
4,9,7,209,3,5,4,0,Basico
5,10,6,280,3,6,2,2,Basico
0,3,4,440,0,1,2,0,Basico+
5,3,3,263,3,1,1,1,Basico
10,9,8,20,6,3,4,2,Basico+
6,6,4,288,4,3,1,2,Basico
8,7,5,133,1,4,1,2,Basico
6,0,2,179,3,0,0,0,Basico
0,2,4,358,0,1,1,0,Basico
4,1,1,280,1,1,0,0,Basico+
3,8,4,214,1,3,4,1,Basico+
3,5,2,376,3,2,2,1,Basico
3,1,1,355,2,0,1,0,Basico
6,9,6,194,4,6,2,1,Basico
1,9,3,358,0,2,5,2,Basico
6,7,3,162,3,4,3,0,Basico
0,8,5,348,0,2,3,3,Basico+
6,3,4,141,3,0,2,1,Basico
1,9,8,335,1,3,3,3,Basico+
7,3,1,148,5,3,0,0,Basico+
6,4,6,192,1,2,0,2,Basico
3,5,2,271,2,1,2,2,Basico
8,8,4,114,3,4,2,2,Basico+
6,6,4,143,4,2,3,1,Basico
3,8,9,335,0,4,3,1,Basico
10,7,7,36,8,4,3,0,Intermedio
1,5,4,287,0,3,2,0,Basico
0,3,2,394,0,2,0,1,Basico
6,3,5,169,5,0,2,1,Basico+
2,6,4,209,1,2,2,2,Basico
1,7,3,334,0,5,1,1,Basico
1,1,2,374,1,0,0,1,Basico
9,9,3,67,3,5,3,1,Basico+
2,4,5,351,1,3,1,0,Basico
1,0,2,411,0,0,0,0,Basico
2,2,2,343,1,1,1,0,Basico+
1,7,7,303,0,4,2,1,Basico
10,5,4,30,0,4,0,1,Basico+
3,2,0,278,2,1,1,0,Basico
4,5,4,178,3,2,2,1,Basico
7,8,7,269,2,4,2,2,Basico
3,9,8,402,1,1,6,2,Basico
5,9,8,313,1,5,3,1,Basico
10,2,0,27,8,1,1,0,Intermedio
6,10,5,200,3,5,3,2,Basico
5,9,6,204,2,4,3,2,Basico
3,1,3,326,1,0,1,0,Basico
7,3,0,215,4,2,1,0,Basico
2,0,2,342,0,0,0,0,Basico+
6,5,6,170,1,1,1,3,Basico
4,8,5,285,1,3,3,2,Basico
6,8,6,198,4,3,2,3,Basico
10,5,2,114,2,2,1,2,Basico+
6,9,6,308,2,4,4,1,Basico
8,2,1,62,6,1,1,0,Basico+
3,4,6,284,1,3,0,1,Basico
2,9,6,430,1,3,4,2,Basico
4,7,7,327,0,5,1,1,Basico
2,0,0,305,0,0,0,0,Intermedio
6,2,4,181,6,1,1,0,Basico+
5,0,3,283,2,0,0,0,Basico
6,2,4,170,4,1,0,1,Intermedio
5,7,3,252,2,1,4,2,Basico
4,5,6,369,1,2,1,2,Basico
7,0,2,147,0,0,0,0,Basico+
3,1,0,257,0,1,0,0,Basico
6,9,3,174,4,4,4,1,Basico
5,7,7,179,4,3,2,2,Basico
4,4,2,175,4,3,0,1,Basico
8,5,7,110,4,3,0,2,Basico+
8,5,5,121,5,1,3,1,Basico+
6,3,4,198,0,2,0,1,Intermedio
2,2,3,270,1,1,1,0,Basico
4,9,8,259,3,3,6,0,Basico
2,2,1,266,1,1,0,1,Basico+
0,3,3,525,0,2,0,1,Basico+
2,3,4,433,1,0,2,1,Basico
2,1,1,467,2,0,1,0,Intermedio
6,1,0,221,5,1,0,0,Basico
2,1,3,338,1,0,0,1,Basico
1,7,5,409,0,2,4,1,Basico
4,9,9,203,1,3,1,5,Basico
7,6,6,122,1,2,3,1,Basico
0,4,3,525,0,3,1,0,Basico
2,9,7,320,1,6,0,3,Intermedio
5,0,3,257,2,0,0,0,Basico
3,3,3,214,1,1,2,0,Basico
5,8,9,220,4,3,5,0,Basico
2,5,2,323,0,3,2,0,Basico
4,2,2,363,1,1,1,0,Basico
9,8,6,88,3,6,2,0,Basico+
9,3,4,44,8,1,1,1,Intermedio
8,6,5,203,5,5,0,1,Basico+
4,3,1,225,2,0,3,0,Basico
5,3,1,328,4,1,0,2,Basico
2,3,3,313,1,3,0,0,Basico
4,6,4,252,1,3,1,2,Basico
3,1,1,311,1,0,1,0,Basico
3,2,2,302,1,1,0,1,Basico
5,0,1,199,1,0,0,0,Basico
1,3,2,386,0,1,2,0,Basico
8,9,9,136,4,1,8,0,Basico+
4,6,8,264,3,2,4,0,Basico
5,7,2,240,1,1,3,3,Basico
2,0,0,344,1,0,0,0,Basico
3,6,3,270,1,4,1,1,Basico
7,5,6,194,3,0,4,1,Basico
7,0,0,138,1,0,0,0,Basico+
5,0,2,174,4,0,0,0,Basico
2,8,6,355,1,4,2,2,Basico
7,8,2,91,2,6,0,2,Basico
5,4,4,190,3,1,1,2,Basico
5,3,0,159,4,3,0,0,Basico
1,4,2,263,0,1,1,2,Basico
6,6,2,213,2,2,3,1,Basico
5,2,0,211,2,1,1,0,Basico
7,5,3,196,6,1,2,2,Basico+
4,2,3,195,1,1,1,0,Basico
6,10,9,218,4,4,4,2,Basico
8,2,1,194,7,1,0,1,Basico+
5,0,0,136,3,0,0,0,Intermedio
3,2,2,314,1,2,0,0,Basico
5,4,4,304,4,3,1,0,Basico
5,3,3,219,3,1,2,0,Basico
7,3,4,187,3,1,1,1,Basico
3,8,5,351,1,5,1,2,Basico
5,0,0,210,1,0,0,0,Basico
3,1,2,315,2,0,1,0,Basico
0,5,5,404,0,3,1,1,Basico
1,1,1,383,0,0,1,0,Basico
3,7,4,378,2,3,2,2,Basico
7,7,4,133,6,2,4,1,Basico+
7,5,4,236,1,3,2,0,Basico
4,8,2,230,1,1,5,2,Basico
8,2,2,236,4,1,1,0,Basico+
7,9,4,155,4,5,1,3,Intermedio
7,4,3,185,4,4,0,0,Basico+
4,4,3,250,3,3,1,0,Basico
6,1,3,191,4,1,0,0,Basico+
7,2,2,93,5,0,1,1,Basico+
9,9,7,120,7,1,3,5,Basico+
1,4,4,417,0,1,2,1,Basico+
2,1,2,298,1,1,0,0,Basico+
10,3,2,67,9,2,1,0,Intermedio
6,5,4,169,3,3,2,0,Basico
6,8,7,192,4,5,3,0,Basico+
1,3,2,383,0,2,0,1,Basico
4,6,5,269,2,3,3,0,Basico
1,6,3,361,1,6,0,0,Intermedio
1,6,5,405,0,1,5,0,Basico
8,6,6,162,7,5,1,0,Basico+
5,3,4,172,1,1,2,0,Basico
6,0,1,164,4,0,0,0,Basico+
2,1,3,341,1,0,1,0,Intermedio
6,5,5,174,2,2,2,1,Basico
2,6,7,301,1,4,2,0,Basico
6,2,1,178,5,1,0,1,Basico+
2,1,0,356,1,0,1,0,Basico
10,1,2,49,6,1,0,0,Intermedio
7,1,0,175,1,0,1,0,Basico
2,4,2,381,1,1,1,2,Basico
8,8,6,86,4,1,3,4,Basico+
1,1,3,413,0,1,0,0,Basico
5,5,6,285,1,4,0,1,Basico
7,2,2,147,5,2,0,0,Basico+
7,5,3,164,3,4,0,1,Basico
2,7,3,272,2,2,3,2,Basico
6,9,3,154,3,5,3,1,Basico
3,6,5,291,1,3,1,2,Basico
5,6,3,265,2,2,2,2,Basico
7,5,2,107,3,1,4,0,Basico+
5,3,2,107,3,1,1,1,Basico
5,2,4,131,3,1,0,1,Intermedio
5,0,1,160,2,0,0,0,Basico
1,7,6,342,0,4,2,1,Basico
8,7,4,173,5,1,3,3,Basico+
4,1,2,252,2,0,1,0,Basico
3,5,3,298,2,4,1,0,Basico
1,4,4,339,0,2,1,1,Basico+
0,3,1,421,0,0,3,0,Basico
10,2,3,73,3,0,1,1,Intermedio
5,0,1,204,1,0,0,0,Basico
2,0,3,475,1,0,0,0,Basico
8,5,5,93,6,3,2,0,Basico+
3,4,5,374,2,1,2,1,Basico
7,2,2,133,0,0,1,1,Basico
0,8,7,404,0,5,3,0,Basico
4,3,3,232,1,1,1,1,Basico
6,0,1,159,1,0,0,0,Basico+
6,4,2,130,4,2,1,1,Basico+
0,9,9,511,0,5,4,0,Basico
8,5,4,112,5,3,2,0,Basico+
5,6,4,270,3,3,1,2,Intermedio
2,6,3,352,1,2,2,2,Basico
5,5,3,199,3,3,1,1,Basico
3,1,3,233,2,1,0,0,Basico
4,6,8,196,3,3,0,3,Basico
5,1,3,276,4,1,0,0,Intermedio
8,8,6,82,4,2,5,1,Basico+
1,9,3,262,0,3,1,5,Basico
0,6,4,465,0,2,3,1,Basico
2,0,0,372,1,0,0,0,Basico
6,8,6,215,0,3,4,1,Basico
1,1,2,404,0,0,1,0,Basico
2,6,5,300,0,3,3,0,Basico
4,7,3,215,3,5,1,1,Basico
1,7,2,328,0,3,2,2,Basico
6,2,1,198,3,1,1,0,Basico
8,7,9,155,5,4,1,2,Basico+
10,3,2,20,4,2,1,0,Intermedio
8,7,3,162,6,4,2,1,Basico+
4,9,4,245,1,6,3,0,Basico
8,6,6,51,6,5,1,0,Basico+
7,6,5,237,6,3,3,0,Basico
6,5,4,122,4,1,2,2,Basico
3,0,3,245,1,0,0,0,Basico
0,3,2,418,0,0,3,0,Basico
6,0,0,252,0,0,0,0,Basico
6,1,1,186,2,0,1,0,Basico
5,7,3,216,3,3,1,3,Basico
5,9,9,222,4,3,5,1,Basico
6,2,1,221,3,1,1,0,Basico
2,6,4,338,2,5,1,0,Intermedio
2,3,3,265,0,1,0,2,Basico
3,6,7,316,1,2,2,2,Basico
2,8,4,404,1,3,1,4,Basico
7,3,4,158,6,2,1,0,Basico+
7,8,4,199,3,1,5,2,Basico
8,5,3,122,5,1,3,1,Basico+
3,3,2,276,1,2,1,0,Basico
7,5,4,257,5,2,3,0,Basico
2,1,1,340,0,0,0,1,Basico
7,3,2,154,6,1,0,2,Basico+
6,6,4,136,2,3,3,0,Basico
3,1,3,245,2,0,0,1,Basico
5,8,6,239,2,3,4,1,Basico
10,0,0,68,5,0,0,0,Intermedio
9,0,2,20,6,0,0,0,Intermedio
1,8,6,402,0,2,4,2,Basico
1,0,3,303,0,0,0,0,Basico
3,2,4,288,1,0,1,1,Basico+
10,4,2,142,6,3,1,0,Basico+
6,4,4,263,2,1,1,2,Basico
10,7,3,61,6,3,3,1,Basico+
10,7,8,73,10,4,2,1,Intermedio
5,6,4,198,1,3,2,1,Basico
5,9,7,264,3,0,5,4,Basico
7,9,5,153,6,3,2,4,Intermedio
8,2,3,56,3,0,1,1,Basico+
4,4,5,344,1,2,1,1,Basico
5,4,4,203,0,0,2,2,Basico
2,3,3,320,2,3,0,0,Basico
0,5,4,368,0,2,1,2,Basico
5,3,2,266,3,1,2,0,Intermedio
0,7,1,339,0,4,3,0,Basico
4,2,1,299,1,2,0,0,Basico
2,6,2,431,0,2,4,0,Basico+
0,9,7,420,0,8,1,0,Basico
5,1,1,377,4,0,1,0,Basico
6,8,9,194,2,4,4,0,Basico
6,10,10,125,3,5,4,1,Basico
3,3,2,351,2,1,2,0,Basico
8,7,7,214,8,0,5,2,Basico+
4,3,1,295,1,1,1,1,Basico
3,10,7,318,0,2,2,6,Basico
8,2,4,160,4,0,0,2,Intermedio
5,7,4,213,3,3,3,1,Basico
4,5,5,219,1,1,1,3,Basico
8,2,2,147,7,0,2,0,Basico+
8,8,8,71,5,4,3,1,Basico+
6,5,4,248,5,3,0,2,Basico
5,3,2,276,2,0,2,1,Basico
7,0,1,144,5,0,0,0,Basico+
10,2,2,78,6,2,0,0,Intermedio
4,2,2,184,1,2,0,0,Basico
1,3,1,391,0,2,1,0,Basico
2,8,3,279,2,5,2,1,Basico
5,3,2,270,0,1,1,1,Basico
0,1,0,491,0,0,1,0,Basico
6,0,3,218,5,0,0,0,Basico+
0,9,5,377,0,4,3,2,Basico
5,7,8,293,4,2,2,3,Basico
4,7,5,264,2,3,3,1,Basico
7,2,3,205,2,1,0,1,Basico
5,4,3,192,3,3,0,1,Basico
2,1,2,262,2,0,0,1,Basico
3,1,2,176,2,0,0,1,Basico
6,7,1,297,4,4,1,2,Basico
8,5,2,118,3,2,2,1,Basico+
0,3,2,313,0,1,1,1,Basico
2,9,9,310,0,6,1,2,Basico
8,7,1,78,7,3,1,3,Basico+
8,6,5,92,0,5,1,0,Basico
9,3,2,125,8,2,1,0,Intermedio
3,0,0,235,1,0,0,0,Basico
0,0,1,426,0,0,0,0,Basico
1,9,9,298,0,2,4,3,Basico+
4,7,6,186,1,3,3,1,Intermedio
3,8,6,226,2,3,4,1,Basico
7,8,5,163,3,2,3,3,Basico
0,8,9,413,0,4,1,3,Intermedio
7,6,6,145,2,1,3,2,Basico
2,8,5,328,1,3,3,2,Basico+
7,0,1,164,2,0,0,0,Basico+
4,0,0,330,1,0,0,0,Basico
6,0,3,136,2,0,0,0,Basico+
2,6,6,332,1,3,2,1,Basico
6,5,5,264,1,3,2,0,Basico
8,8,4,223,7,3,0,5,Basico+
7,4,6,110,4,1,2,1,Basico+
6,8,4,195,3,3,2,3,Basico
1,8,8,376,0,3,4,1,Basico
9,7,7,154,5,2,4,1,Basico+
1,8,9,379,0,4,3,1,Basico
7,1,2,246,6,0,0,1,Basico+
2,9,4,302,2,6,1,2,Basico
6,0,0,184,2,0,0,0,Basico
8,5,5,51,4,3,1,1,Basico+
3,6,5,316,2,3,2,1,Basico+
3,7,5,263,2,3,2,2,Basico
3,5,5,248,2,1,2,2,Basico
5,5,2,184,3,2,3,0,Basico
3,1,1,236,2,1,0,0,Basico
8,9,6,98,2,6,1,2,Intermedio
8,7,5,67,3,2,3,2,Basico+
5,1,3,198,4,0,1,0,Basico
2,7,5,341,1,5,2,0,Basico
6,4,3,213,5,2,0,2,Basico
5,4,4,208,4,3,1,0,Basico
0,7,3,417,0,3,3,1,Basico
5,10,3,283,4,5,3,2,Basico
7,7,3,116,3,6,1,0,Basico
7,6,6,149,5,3,2,1,Basico+
7,8,3,129,6,5,2,1,Basico+
1,3,5,334,0,2,1,0,Intermedio
4,7,6,250,2,3,2,2,Basico
6,8,6,181,3,3,3,2,Basico
0,8,6,442,0,5,0,3,Basico
2,6,7,392,0,4,1,1,Basico
3,1,0,317,1,0,0,1,Basico
6,8,4,196,5,2,4,2,Basico
7,4,2,127,6,0,3,1,Basico+
10,4,1,73,7,1,3,0,Intermedio
3,8,4,338,2,2,4,2,Basico
5,3,4,184,2,3,0,0,Basico
5,1,0,302,1,0,1,0,Basico
2,4,1,391,1,2,1,1,Basico
2,7,9,290,1,2,4,1,Basico
6,3,4,242,1,2,1,0,Basico
3,9,7,231,1,7,2,0,Basico
3,4,4,272,1,3,1,0,Basico
10,5,4,114,8,3,2,0,Intermedio
6,0,0,120,1,0,0,0,Basico+
0,6,4,559,0,3,2,1,Basico
3,2,3,332,0,2,0,0,Intermedio
6,8,7,229,4,5,3,0,Basico
9,3,2,117,3,2,0,1,Basico+
4,6,6,380,3,6,0,0,Basico
2,5,5,253,0,3,1,1,Basico
2,6,5,376,1,3,2,1,Basico
9,8,3,181,8,3,3,2,Basico+
6,6,6,160,1,4,2,0,Basico
3,5,2,326,1,1,2,2,Basico
8,6,7,57,7,5,1,0,Basico+
3,1,2,204,1,0,1,0,Basico
7,7,7,222,5,5,2,0,Basico
4,1,1,266,3,0,0,1,Basico
7,4,3,185,4,3,1,0,Basico+
4,3,3,189,3,0,3,0,Intermedio
8,3,2,154,6,2,0,1,Basico+
1,5,4,535,0,2,2,1,Basico
3,3,1,329,1,2,0,1,Basico
1,3,1,335,0,1,1,1,Basico
6,7,9,179,3,3,3,1,Basico
6,0,3,194,1,0,0,0,Basico
6,4,4,140,2,3,0,1,Basico
1,6,1,341,0,2,3,1,Basico
8,9,5,90,6,5,3,1,Basico+
7,4,3,182,4,3,1,0,Basico+
5,5,5,245,3,1,3,1,Basico
1,8,1,333,1,5,2,1,Basico
5,1,0,269,4,0,1,0,Basico
2,2,1,265,1,1,1,0,Intermedio
6,3,4,206,2,0,2,1,Basico
7,0,0,126,3,0,0,0,Basico+
5,0,3,158,3,0,0,0,Basico
1,2,1,427,0,1,1,0,Basico
5,1,2,199,2,1,0,0,Basico+
9,1,0,50,5,1,0,0,Intermedio
3,4,5,249,1,1,1,2,Basico
6,3,2,268,5,1,1,1,Basico
1,2,4,364,0,1,0,1,Basico
7,6,2,173,5,3,3,0,Basico+
4,5,6,199,2,2,2,1,Basico
6,2,1,137,5,2,0,0,Basico+
0,5,3,486,0,3,2,0,Basico
1,6,4,384,0,2,3,1,Basico
8,6,4,108,0,2,2,2,Basico
3,3,2,244,1,1,1,1,Basico
4,7,5,242,1,3,1,3,Basico
2,3,0,280,1,1,0,2,Basico
1,5,4,264,0,2,0,3,Basico
